 TRAIN LES STLD STMD AMBASLAT AMLAT ENTORH PERIRH CA1 CA3 DG CINGULAR PRELIMB SOMSENS SUBICULUM ACCCORE ACCSHELL VISUAL PIRIFORM PARIETAL RETROSPLEN D1 D2 D3 D4 D5 
 "D5 " "H " 2162.5188786 1381.723193 733.20509461 1320.7378634 550.65937789 438.67440201 NA NA NA 1888.5033911 754.56711818 419.72625347 74.386118205 537.05298826 69.036100262 2364.2853043 1542.6366479 473.93307022 142.7174271 48.38 28.80625 27.015 14.4825 10.9175
 "D5 " "H " 2253.7243641 942.41210957 447.02070643 1334.3171699 479.10620829 624.85969499 NA NA NA 1757.5288977 460.1815864 392.75573135 262.57332435 760.69531709 86.192300157 2492.3273538 1327.2940572 317.6224292 799.15268895 47.0175 40.18375 30.905 16.19875 7.6925
 "D5 " "H " 2476.0564871 1718.0716608 435.12234211 1564.4869534 503.87191141 505.00444819 NA NA NA 1682.911855 719.66811496 526.99151425 190.87356782 815.08874046 201.4665378 2741.6097795 1343.63448 660.64278698 876.3474887 52.95875 37.8575 18.29125 10.865 9.94
 "D5 " "H " 2497.7110692 1850.489047 562.37049632 1810.611295 601.20792396 382.16027128 NA NA NA 1952.4770084 51.351420391 786.73368515 80.145629824 573.38895542 261.38803719 852.11556287 1095.9508799 611.67911649 984.04090934 45.7325 52.65875 36.78 18.55 16.485
 "D5 " "H " 2159.9612034 1752.2722416 439.47687069 1266.4850891 750.94899948 928.66268262 NA NA NA 1315.0217979 462.40427798 1319.5633496 332.62146276 1252.1692121 1003.2041437 1383.9815211 974.30283116 765.19034222 298.1244212 40.9375 50.17625 13.6275 23.0875 14.89875
 "D5 " "H " 1908.7014314 902.42174977 436.96597984 1327.9889037 658.14443562 821.89627416 NA NA NA 1352.6515529 1191.5996291 1170.4085896 158.67563462 993.72118109 796.55909231 741.6902447 559.36015587 1184.6209709 409.6984669 53.42175 25.65375 17.8375 11.33 6.3525
 "D5 " "H " 1397.8836888 977.9343506 450.67116352 1006.982465 242.57817048 248.06841581 NA NA NA 930.15270264 701.06513264 760.65055001 60.454768525 682.45076715 649.62390385 1361.7414732 341.30913733 499.5967614 182.45455281 43.23125 30.82875 14.63375 11.68125 8.9325
 "D5 " "H " 1471.1389947 1073.6015938 528.40982262 1017.1517348 361.57334462 472.50871086 NA NA NA 1540.9671653 1088.875919 1444.4386694 378.573652 943.79278877 465.73021567 1446.616115 1260.169454 668.64520444 639.19874304 27.60625 28.32875 23.49625 6.13375 5.6575
 "D5 " "H " 2680.2471374 1277.291026 540.3655274 1672.444896 450.33672803 465.0655011 NA NA NA 2121.3722001 1212.3959315 1032.8186323 317.29748965 810.5269094 625.80322475 1912.3756984 924.61033879 482.16098043 213.6662995 24.38 19.54625 11.80625 15.1975 6.62625
 "D5 " "H " 2605.7150063 1658.1653095 679.44198613 1750.4069005 190.88583418 186.65084559 NA NA NA 1905.8407027 1644.2725767 953.82748032 373.95999624 831.59408678 138.86533649 1394.3112299 956.38980091 1182.4117119 1462.7395956 38.91875 22.8875 20.9525 12.715 5.99875
